input_id	dealiased_id	standard_id	short_id
doi:10.1111/j.2153-3490.1967.tb01459.x	doi:10.1111/j.2153-3490.1967.tb01459.x	doi:10.1111/j.2153-3490.1967.tb01459.x	XN3now2c
tag:bryan-69	doi:10.1016/0021-9991(69)90004-7	doi:10.1016/0021-9991(69)90004-7	FB9v9OMt
doi:10.1016/B978-0-12-409548-9.11410-1	doi:10.1016/B978-0-12-409548-9.11410-1	doi:10.1016/b978-0-12-409548-9.11410-1	1F1Ukj5fm
doi:10.17125/gov2018.ch12	doi:10.17125/gov2018.ch12	doi:10.17125/gov2018.ch12	sQkgHLsG
doi:10.1016/B978-0-12-391851-2.00020-9	doi:10.1016/B978-0-12-391851-2.00020-9	doi:10.1016/b978-0-12-391851-2.00020-9	ME1hJ6u4
doi:10.3389/fmars.2019.00065	doi:10.3389/fmars.2019.00065	doi:10.3389/fmars.2019.00065	PRsYiqNN
doi:10.2307/j.ctv301gzg	doi:10.2307/j.ctv301gzg	doi:10.2307/j.ctv301gzg	Nq2rfJgd
doi:10.1002/wcc.535	doi:10.1002/wcc.535	doi:10.1002/wcc.535	A1toPmvW
url:https://www.wmo.int/pages/prog/arep/wwrp/new/documents/Final_WWRP_2017_3_27_July.pdf	url:https://www.wmo.int/pages/prog/arep/wwrp/new/documents/Final_WWRP_2017_3_27_July.pdf	url:https://www.wmo.int/pages/prog/arep/wwrp/new/documents/Final_WWRP_2017_3_27_July.pdf	6K39ZsM1
doi:10.1175/BAMS-D-17-0036.1	doi:10.1175/BAMS-D-17-0036.1	doi:10.1175/bams-d-17-0036.1	8SbNM7MJ
doi:10.1175/BAMS-89-4-459	doi:10.1175/BAMS-89-4-459	doi:10.1175/bams-89-4-459	WM1DkQYi
doi:10.1175/2009BAMS2752.1	doi:10.1175/2009BAMS2752.1	doi:10.1175/2009bams2752.1	hN6cLB2V
doi:10.3389/fmars.2019.00417	doi:10.3389/fmars.2019.00417	doi:10.3389/fmars.2019.00417	jlRyJ6R2
doi:10.3389/fmars.2019.00031	doi:10.3389/fmars.2019.00031	doi:10.3389/fmars.2019.00031	iFntRP3a
doi:10.3389/fmars.2019.00428	doi:10.3389/fmars.2019.00428	doi:10.3389/fmars.2019.00428	RpGfz39a
doi:10.3389/fmars.2019.00232	doi:10.3389/fmars.2019.00232	doi:10.3389/fmars.2019.00232	veLBbfXi
doi:10.1029/2018JC014869	doi:10.1029/2018JC014869	doi:10.1029/2018jc014869	jyypyGB3
doi:10.5194/os-14-1405-2018	doi:10.5194/os-14-1405-2018	doi:10.5194/os-14-1405-2018	LArXpq6p
doi:10.1002/9781119176817.ecm2061	doi:10.1002/9781119176817.ecm2061	doi:10.1002/9781119176817.ecm2061	TWjDrltE
url:https://www.springer.com/gp/book/9783540263449	url:https://www.springer.com/gp/book/9783540263449	url:https://www.springer.com/gp/book/9783540263449	bg9oTRPl
doi:10.1029/177GM19	doi:10.1029/177GM19	doi:10.1029/177gm19	iU32cO3q
doi:10/d82jnp	doi:10/d82jnp	doi:10.1175/1520-0485(1987)017<1950:ns>2.0.co;2	16S3ulLaU
